# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
10.025550362776915 0.9775024457894758 0.042645125343970906 7.958311712401626E-6  -0.7838908154911522 -0.7838908154911522 -0.7838908154911522 0.0 0.0 0.0 299.9762157405012 NaN 3.748349552816998 1.226008676511434E-4 0.7838908154911522 1.0223857261381266 3.335492849501519E-6 10.025550362776915 299.9762157405012
10.028819208614935 0.9771838335246511 0.043276773862763324 3.365616094477233E-5  -0.7960268622232595 -0.7960268622232595 -0.7960268622232595 0.0 0.0 0.0 300.07619700405786 NaN 3.760102018658238 1.2259893064301512E-4 0.7960268622232595 1.022052488919481 3.322847818432966E-6 10.028819208614935 300.07619700405786
10.032088054452975 0.9768654288924471 0.04390876048294054 5.966685730812773E-5  -0.8081784731956023 -0.8081784731956023 -0.8081784731956023 0.0 0.0 0.0 300.17614640173525 NaN 3.7612867419225906 1.2259893211251344E-4 0.8081784731956023 1.0217194520816444 3.3196368015875096E-6 10.032088054452975 300.17614640173525
10.035356900291037 0.976547231689965 0.04454108459432866 8.617248579032939E-5  -0.820354625785478 -0.820354625785478 -0.820354625785478 0.0 0.0 0.0 300.27606394309817 NaN 3.773050157617885 1.225989341043624E-4 0.820354625785478 1.0213866278540502 3.3071314778631674E-6 10.035356900291037 300.27606394309817
10.038625746129114 0.9762292417145716 0.04517374590793882 1.1287704778575486E-4  -0.8325407337582239 -0.8325407337582239 -0.8325407337582239 0.0 0.0 0.0 300.37594963737 NaN 3.7742352686022755 1.2259893630860985E-4 0.8325407337582239 1.0210540186104688 3.303940282996725E-6 10.038625746129114 300.37594963737
10.041894591967214 0.9759114587638958 0.04580674367736895 1.4019099936702338E-4  -0.8447570264965548 -0.8447570264965548 -0.8447570264965548 0.0 0.0 0.0 300.4758034953691 NaN 3.786006304988811 1.2259893530355365E-4 0.8447570264965548 1.0207216526291651 3.291524067440381E-6 10.041894591967214 300.4758034953691
10.04516343780533 0.9755938826358317 0.046440520341903956 1.6761525324052827E-4  -0.8569789082689304 -0.8569789082689304 -0.8569789082689304 0.0 0.0 0.0 300.57562552867455 NaN 3.7977880023062696 1.2259893370094707E-4 0.8569789082689304 1.020389507934963 3.2791776999282397E-6 10.04516343780533 300.57562552867455
10.048432283643466 0.9752765131285349 0.04707463249634164 1.9571257204007868E-4  -0.8692341320094427 -0.8692341320094427 -0.8692341320094427 0.0 0.0 0.0 300.67541574859854 NaN 3.7989754555851807 1.22598928557703E-4 0.8692341320094427 1.020057608799137 3.2760202423614133E-6 10.048432283643466 300.67541574859854
10.051701129481621 0.9749593500404243 0.04770907933087023 2.2394583476747045E-4  -0.8814962085348077 -0.8814962085348077 -0.8814962085348077 0.0 0.0 0.0 300.77517416624084 NaN 3.810763097426772 1.2260087293984142E-4 0.8814962085348077 1.0197258168926504 3.2638144366807187E-6 10.051701129481621 300.77517416624084
10.054969975319793 0.9746423931701812 0.048343860559427465 2.5273834419847605E-4  -0.8937860075762281 -0.8937860075762281 -0.8937860075762281 0.0 0.0 0.0 300.8749007815881 NaN 3.811950933945549 1.2260086559223385E-4 0.8937860075762281 1.0193943676484083 3.2606762943115677E-6 10.054969975319793 300.8749007815881
