# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
6.007409373821438 0.8866619880029988 0.4659378623518947 0.11952654426084801  -9.716926571548235 -9.716926571548235 -9.716926571548235 0.0 0.0 0.0 331.3863778769168 -0.018627910930882723 15.831813149629882 3.27745163611015E-4 9.716926571548235 1.109171625077998 3.822233012330256E-6 6.007409373821438 331.3863778769168
6.01699906191082 0.8852488563375004 0.4722871279138593 0.12197936474691089  -9.85283223207656 -9.85283223207656 -9.85283223207656 0.0 0.0 0.0 331.97392311493957 -0.016431606172259583 15.859157787654151 3.276668351541623E-4 9.85283223207656 1.1119980052323706 3.818356122017595E-6 6.01699906191082 331.97392311493957
6.026588750006658 0.8838402219057143 0.4786317531681095 0.12443261688203354  -9.988751441415681 -9.988751441415681 -9.988751441415681 0.0 0.0 0.0 332.5630669760856 -0.014235322384672526 15.886537198609366 3.275885066972569E-4 9.988751441415681 1.1148175840267935 3.814447711873489E-6 6.026588750006658 332.5630669760856
6.03617843810892 0.8824360632733586 0.4849717550438388 0.12688630010851287  -10.124684239273416 -10.124684239273416 -10.124684239273416 0.0 0.0 0.0 333.1538089045177 -0.01203905668218869 15.913950846950291 3.27510178240299E-4 10.124684239273416 1.117630395448553 3.8105084046967737E-6 6.03617843810892 333.1538089045177
6.045768126217577 0.8810363591421456 0.49130715027811034 0.12934041387602033  -10.260630665387394 -10.260630665387394 -10.260630665387394 0.0 0.0 0.0 333.74614836638744 -0.009842806189309872 15.941398203227378 3.2743184978328886E-4 10.260630665387394 1.1204364732707963 3.806538814642547E-6 6.045768126217577 333.74614836638744
6.055357814332596 0.8796410883487059 0.49763795541865674 0.13179495764152738  -10.396590759525527 -10.396590759525527 -10.396590759525527 0.0 0.0 0.0 334.3400848496365 -0.007646568040829271 15.968878744017772 3.273535213262268E-4 10.396590759525527 1.123235851054229 3.8025395473256757E-6 6.055357814332596 334.3400848496365
6.064947502453947 0.8782502298635209 0.5039641868266406 0.13424993086923304  -10.5325645614865 -10.5325645614865 -10.5325645614865 0.0 0.0 0.0 334.93561786380025 -0.005450339381688935 15.996391951857294 3.2727519286911296E-4 10.5325645614865 1.1260285621487984 3.7985111999234046E-6 6.064947502453947 334.93561786380025
6.074537190581603 0.876863762789866 0.5102858606793753 0.13670533303049306  -10.668552111100334 -10.668552111100334 -10.668552111100334 0.0 0.0 0.0 335.53274693981416 -0.00325411736683829 16.02393731517316 3.271968644119477E-4 10.668552111100334 1.1288146396953556 3.794454361277127E-6 6.074537190581603 335.53274693981416
6.084126878715532 0.8754816663627656 0.5166029929729953 0.13916116360374645  -10.80455344822871 -10.80455344822871 -10.80455344822871 0.0 0.0 0.0 336.13147162982204 -0.0010578991610977373 16.051514328217593 3.271185359547311E-4 10.80455344822871 1.1315941166273074 3.790369611993271E-6 6.084126878715532 336.13147162982204
6.093716566855704 0.874103919947955 0.5229155995250999 0.14161742207444764  -10.94056861276559 -10.94056861276559 -10.94056861276559 0.0 0.0 0.0 336.7317915069874 0.001138318060981084 16.07912249100219 3.2704020749746356E-4 10.94056861276559 1.1343670256722487 3.786257524543319E-6 6.093716566855704 336.7317915069874
6.103306255002092 0.8727305030408539 0.5292236959773476 0.14407410793499661  -11.076597644637653 -11.076597644637653 -11.076597644637653 0.0 0.0 0.0 337.33370616530675 0.003334537115250037 16.106761309233196 3.2696187904014527E-4 11.076597644637653 1.1371333993535837 3.7821186633629356E-6 6.103306255002092 337.33370616530675
6.112895943154664 0.8713613952655497 0.5355272977980122 0.14653122068466928  -11.212640583804681 -11.212640583804681 -11.212640583804681 0.0 0.0 0.0 337.93721521942507 0.005530760808097458 16.134430294247448 3.2688355058277645E-4 11.212640583804681 1.1398932699921258 3.7779535849502217E-6 6.112895943154664 337.93721521942507
6.122485631313392 0.8699965763737888 0.5418264202845079 0.14898875982955231  -11.34869747026018 -11.34869747026018 -11.34869747026018 0.0 0.0 0.0 338.5423183044545 0.007726991936582871 16.16212896294923 3.2680522212535733E-4 11.34869747026018 1.1426466697076902 3.773762837963081E-6 6.122485631313392 338.5423183044545
6.132075319478248 0.8686360262439794 0.5481210785658663 0.15144672488247432  -11.48476834403171 -11.48476834403171 -11.48476834403171 0.0 0.0 0.0 339.149015075794 0.009923233288566013 16.189856837747783 3.267268936678882E-4 11.48476834403171 1.1453936304206638 3.76954696331569E-6 6.132075319478248 339.149015075794
6.141665007649202 0.8672797248802023 0.5544112876051825 0.15390511536294074  -11.620853245181385 -11.620853245181385 -11.620853245181385 0.0 0.0 0.0 339.75730520895223 0.012119487642836862 16.21761344649568 3.2664856521036925E-4 11.620853245181385 1.1481341838535648 3.7653064942740806E-6 6.141665007649202 339.75730520895223
