# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
11.878548685009013 0.9548710641204686 0.11986389431576436 0.025264881796632038  -3.546593349451135 -3.546593349451135 -3.546593349451135 0.0 0.0 0.0 331.4636469529702 -0.07301143755807145 7.175620720415465 1.1973323193677533E-4 3.546593349451135 2.6421888377090497 3.7115533004692344E-6 11.878548685009013 331.4636469529702
11.887057673311336 0.9541875487428096 0.1217828646313589 0.025665184983988173  -3.6032973907199293 -3.6032973907199293 -3.6032973907199293 0.0 0.0 0.0 332.0912673128295 -0.07280730165036778 7.187490965838931 1.1972991954264016E-4 3.6032973907199293 2.6413072159576343 3.7014332922634E-6 11.887057673311336 332.0912673128295
11.895566661614176 0.9535050112124903 0.123702044330166 0.026065547261349627  -3.6600050919202687 -3.6600050919202687 -3.6600050919202687 0.0 0.0 0.0 332.7194159415429 -0.0726030625583717 7.199337265502342 1.1972660714850477E-4 3.6600050919202687 2.640426911297379 3.6913665421763255E-6 11.895566661614176 332.7194159415429
11.904075649917536 0.9528234494326255 0.12562142862498796 0.02646596859518656  -3.71671645427626 -3.71671645427626 -3.71671645427626 0.0 0.0 0.0 333.348092602895 -0.07239871987788489 7.211159688297032 1.1972329475436918E-4 3.71671645427626 2.63954792090856 3.6813526319064094E-6 11.904075649917536 333.348092602895
11.912584638221412 0.9521428613123222 0.12754101275907695 0.026866448951991844  -3.773431479011329 -3.773431479011329 -3.773431479011329 0.0 0.0 0.0 333.9772970608366 -0.072194273204958 7.222958302868204 1.197199823602334E-4 3.773431479011329 2.638670241979508 3.6713911475194526E-6 11.912584638221412 333.9772970608366
11.921093626525805 0.9514632447666564 0.12946079200592034 0.027266988298281464  -3.8301501673482794 -3.8301501673482794 -3.8301501673482794 0.0 0.0 0.0 334.6070290794845 -0.07198972213589 7.234733177615986 1.1971666996609741E-4 3.8301501673482794 2.6377938717065845 3.661481679391817E-6 11.921093626525805 334.6070290794845
11.929602614830712 0.950784597716653 0.13138076166902574 0.027667586600594596  -3.8868725205093004 -3.8868725205093004 -3.8868725205093004 0.0 0.0 0.0 335.23728842312266 -0.07178506626722835 7.246484380696481 1.1971335757196121E-4 3.8868725205093004 2.6369188072941507 3.6516238221544553E-6 11.929602614830712 335.23728842312266
11.938111603136134 0.9501069180892636 0.13330091708170763 0.02806824382549351  -3.9435985397159508 -3.9435985397159508 -3.9435985397159508 0.0 0.0 0.0 335.86807485620193 -0.07158030519576884 7.258211980022802 1.1971004517782482E-4 3.9435985397159508 2.6360450459545355 3.641817174637828E-6 11.938111603136134 335.86807485620193
11.94662059144207 0.9494302038173462 0.13522125360687587 0.02846895993956356  -4.000328226189151 -4.000328226189151 -4.000328226189151 0.0 0.0 0.0 336.4993881433404 -0.07137543851855563 7.269916043266125 1.1970673278368823E-4 4.000328226189151 2.6351725849080134 3.632061339817659E-6 11.94662059144207 336.4993881433404
11.955129579748517 0.9487544528396442 0.13714176663682673 0.028869734909413254  -4.0570615811492 -4.0570615811492 -4.0570615811492 0.0 0.0 0.0 337.1312280493236 -0.07117046583288093 7.2815966378567 1.1970342038955143E-4 4.0570615811492 2.6343014213827725 3.6223559247615453E-6 11.955129579748517 337.1312280493236
11.963638568055474 0.9480796631007647 0.13906245159303554 0.02927056870167427  -4.1137986058157745 -4.1137986058157745 -4.1137986058157745 0.0 0.0 0.0 337.76359433910466 -0.07096538673628505 7.293253830984907 1.1970010799541445E-4 4.1137986058157745 2.633431552614886 3.6127005405763682E-6 11.963638568055474 337.76359433910466
11.972147556362943 0.9474058325511584 0.1409833039259517 0.029671461283001712  -4.1705393014079535 -4.1705393014079535 -4.1705393014079535 0.0 0.0 0.0 338.396486777805 -0.07076020082655615 7.304887689602262 1.1969679560127727E-4 4.1705393014079535 2.6325629758482862 3.603094802356531E-6 11.972147556362943 338.396486777805
11.98065654467092 0.9467329591470983 0.14290431911479298 0.03007241262007366  -4.227283669144166 -4.227283669144166 -4.227283669144166 0.0 0.0 0.0 339.02990513071404 -0.0705549077017304 7.316498280422435 1.1969348320713989E-4 4.227283669144166 2.6316956883347364 3.5935383291329905E-6 11.98065654467092 339.02990513071404
11.989165532979404 0.9460610408506597 0.1448254926673453 0.03047342267959165  -4.284031710242244 -4.284031710242244 -4.284031710242244 0.0 0.0 0.0 339.66384916328985 -0.07034950696009161 7.328085669922266 1.1969017081300231E-4 4.284031710242244 2.6308296873338004 3.5840307438230557E-6 11.989165532979404 339.66384916328985
11.997674521288396 0.9453900756296991 0.14674682011976115 0.03087449142828044  -4.340783425919403 -4.340783425919403 -4.340783425919403 0.0 0.0 0.0 340.29831864115914 -0.07014399820017131 7.339649924342783 1.1968685841886453E-4 4.340783425919403 2.629964970112819 3.574571673180964E-6 11.997674521288396 340.29831864115914
12.006183509597891 0.9447200614578337 0.14866829703636147 0.0312756188328881  -4.397538817392238 -4.397538817392238 -4.397538817392238 0.0 0.0 0.0 340.93331333011747 -0.06993838102074847 7.3511911096901885 1.1968354602472654E-4 4.397538817392238 2.629101533946879 3.5651607477492055E-6 12.006183509597891 340.93331333011747
12.014692497907891 0.9440509963144215 0.1505899190094391 0.03167680486018614  -4.454297885876751 -4.454297885876751 -4.454297885876751 0.0 0.0 0.0 341.5688329961299 -0.06973265502084962 7.362709291736866 1.1968023363058838E-4 4.454297885876751 2.628239376118786 3.5557976018105843E-6 12.014692497907891 341.5688329961299
12.023201486218394 0.9433828781845403 0.15251168165906273 0.0320780494769694  -4.511060632588326 -4.511060632588326 -4.511060632588326 0.0 0.0 0.0 342.20487740533076 -0.06952681979974853 7.37420453602237 1.1967692123645001E-4 4.511060632588326 2.62737849391904 3.546481873341015E-6 12.023201486218394 342.20487740533076
12.0317104745294 0.9427157050589677 0.15443358063288415 0.03247935265005613  -4.567827058741747 -4.567827058741747 -4.567827058741747 0.0 0.0 0.0 342.841446324024 -0.06932087495696615 7.385676907854426 1.1967360884231144E-4 4.567827058741747 2.6265188846458063 3.537213203963016E-6 12.0317104745294 342.841446324024
12.040219462840906 0.9420494749341617 0.15635561160594555 0.032880714346288004  -4.624597165551192 -4.624597165551192 -4.624597165551192 0.0 0.0 0.0 343.4785395186834 -0.0691148200922706 7.397126472309892 1.196702964481727E-4 4.624597165551192 2.6256605456048856 3.5279912388999248E-6 12.040219462840906 343.4785395186834
12.048728451152911 0.9413841858122396 0.15827777028048973 0.033282134532530094  -4.681370954230229 -4.681370954230229 -4.681370954230229 0.0 0.0 0.0 344.1161567559531 -0.06890865480567705 7.408553294235753 1.1966698405403374E-4 4.681370954230229 2.624803474109694 3.5188156269307823E-6 12.048728451152911 344.1161567559531
12.057237439465418 0.9407198357009582 0.16020005238577217 0.033683613175671145  -4.738148425991855 -4.738148425991855 -4.738148425991855 0.0 0.0 0.0 344.75429780264756 -0.0687023786974474 7.419957438250097 1.1966367165989458E-4 4.738148425991855 2.6239476674812288 3.509686020345899E-6 12.057237439465418 344.75429780264756
