#           USTAR            CLAG         DENSITY          STRESS
  2.23679488e+02  1.03186583e+04  3.66523877e+03  7.71329136e+09
  2.24231049e+02  1.03112819e+04  3.66543943e+03  7.73365916e+09
  2.24782609e+02  1.03306369e+04  3.66564000e+03  7.75403880e+09
  2.25334170e+02  1.03289884e+04  3.66584042e+03  7.77443591e+09
  2.25885731e+02  1.03262111e+04  3.66604091e+03  7.79482866e+09
  2.26437291e+02  1.03209439e+04  3.66624149e+03  7.81521346e+09
  2.26988852e+02  1.03137259e+04  3.66644222e+03  7.83558594e+09
  2.27540413e+02  1.03322337e+04  3.66664286e+03  7.85596956e+09
  2.28091973e+02  1.03270060e+04  3.66684340e+03  7.87636630e+09
  2.28643534e+02  1.03202985e+04  3.66704407e+03  7.89675125e+09
  2.29195095e+02  1.03135965e+04  3.66724489e+03  7.91712296e+09
  2.29746655e+02  1.03045510e+04  3.66744589e+03  7.93747913e+09
  2.30298216e+02  1.03199448e+04  3.66764685e+03  7.95784156e+09
  2.30849777e+02  1.03172420e+04  3.66784771e+03  7.97821652e+09
  2.31401337e+02  1.03149259e+04  3.66804864e+03  7.99858653e+09
  2.31952898e+02  1.03107299e+04  3.66824965e+03  8.01895011e+09
  2.32504459e+02  1.03036845e+04  3.66845080e+03  8.03930259e+09
  2.33056019e+02  1.03199587e+04  3.66865187e+03  8.05966418e+09
  2.33607580e+02  1.03198069e+04  3.66885282e+03  8.08004168e+09
  2.34159141e+02  1.03176725e+04  3.66905380e+03  8.10041694e+09
  2.34710701e+02  1.03179140e+04  3.66925483e+03  8.12079032e+09
  2.35262262e+02  1.03151487e+04  3.66945591e+03  8.14116121e+09
