#           USTAR            CLAG         DENSITY          STRESS
  1.84306555e+03  1.16911586e+04  4.54584936e+03  5.91387087e+10
  1.84885848e+03  1.17102735e+04  4.54870896e+03  5.93813662e+10
  1.85465141e+03  1.17243462e+04  4.55156811e+03  5.96243679e+10
  1.86044434e+03  1.17453065e+04  4.55442658e+03  5.98677328e+10
  1.86623727e+03  1.17561816e+04  4.55728476e+03  6.01114278e+10
  1.87203020e+03  1.17820913e+04  4.56014206e+03  6.03555043e+10
  1.87782313e+03  1.17879150e+04  4.56299909e+03  6.05999098e+10
  1.88361606e+03  1.17992258e+04  4.56585762e+03  6.08444930e+10
  1.88940899e+03  1.18047659e+04  4.56871769e+03  6.10892509e+10
  1.89520192e+03  1.18229213e+04  4.57157847e+03  6.13342545e+10
  1.90099485e+03  1.18352514e+04  4.57443914e+03  6.15795742e+10
  1.90678778e+03  1.18439771e+04  4.57730085e+03  6.18251123e+10
  1.91258071e+03  1.18557818e+04  4.58016365e+03  6.20708633e+10
  1.91837364e+03  1.18636688e+04  4.58302766e+03  6.23168184e+10
  1.92416657e+03  1.18721943e+04  4.58589327e+03  6.25629438e+10
  1.92995950e+03  1.18854916e+04  4.58875983e+03  6.28092954e+10
  1.93575243e+03  1.18925011e+04  4.59162752e+03  6.30558576e+10
  1.94154536e+03  1.18990835e+04  4.59449715e+03  6.33025607e+10
  1.94733829e+03  1.19101728e+04  4.59736824e+03  6.35494471e+10
  1.95313122e+03  1.19225262e+04  4.60024009e+03  6.37965766e+10
  1.95892415e+03  1.19421255e+04  4.60311168e+03  6.40440374e+10
  1.96471708e+03  1.19563724e+04  4.60598278e+03  6.42918491e+10
  1.97051001e+03  1.19643426e+04  4.60885480e+03  6.45398913e+10
  1.97630294e+03  1.19805678e+04  4.61172749e+03  6.47881843e+10
  1.98209587e+03  1.19895591e+04  4.61460073e+03  6.50367388e+10
  1.98788880e+03  1.19990684e+04  4.61747534e+03  6.52854851e+10
  1.99368173e+03  1.20183526e+04  4.62035008e+03  6.55345300e+10
  1.99947466e+03  1.20291931e+04  4.62322479e+03  6.57838873e+10
  2.00526759e+03  1.20394263e+04  4.62610056e+03  6.60334631e+10
  2.01106052e+03  1.20516424e+04  4.62897723e+03  6.62832717e+10
  2.01685345e+03  1.20559826e+04  4.63185549e+03  6.65332520e+10
  2.02264638e+03  1.20668027e+04  4.63473553e+03  6.67833895e+10
  2.02843931e+03  1.20783233e+04  4.63761648e+03  6.70337586e+10
  2.03423224e+03  1.20807505e+04  4.64049935e+03  6.72842723e+10
  2.04002517e+03  1.20923345e+04  4.64338413e+03  6.75349314e+10
  2.04581810e+03  1.21130376e+04  4.64626864e+03  6.77859252e+10
  2.05161103e+03  1.21290835e+04  4.64915236e+03  6.80373001e+10
  2.05740396e+03  1.21712398e+04  4.65203275e+03  6.82892786e+10
  2.06319689e+03  1.21944678e+04  4.65490896e+03  6.85419350e+10
  2.06898981e+03  1.21995019e+04  4.65778538e+03  6.87948845e+10
  2.07478274e+03  1.22098654e+04  4.66066355e+03  6.90479936e+10
  2.08057567e+03  1.22349789e+04  4.66354110e+03  6.93014706e+10
  2.08636860e+03  1.22711070e+04  4.66641499e+03  6.95555826e+10
  2.09216153e+03  1.22939336e+04  4.66928552e+03  6.98103060e+10
  2.09795446e+03  1.23140393e+04  4.67215457e+03  7.00654746e+10
  2.10374739e+03  1.23353906e+04  4.67502231e+03  7.03210730e+10
  2.10954032e+03  1.23510977e+04  4.67788925e+03  7.05770557e+10
  2.11533325e+03  1.23663390e+04  4.68075612e+03  7.08333593e+10
  2.12112618e+03  1.23951164e+04  4.68362141e+03  7.10901194e+10
  2.12691911e+03  1.24284964e+04  4.68648301e+03  7.13475240e+10
  2.13271204e+03  1.24414400e+04  4.68934277e+03  7.16054089e+10
  2.13850497e+03  1.24553178e+04  4.69220294e+03  7.18635719e+10
  2.14429790e+03  1.24632723e+04  4.69506409e+03  7.21219614e+10
  2.15009083e+03  1.24769656e+04  4.69792624e+03  7.23805753e+10
  2.15588376e+03  1.24952822e+04  4.70078820e+03  7.26395212e+10
  2.16167669e+03  1.25037561e+04  4.70365059e+03  7.28987448e+10
  2.16746962e+03  1.25074709e+04  4.70651506e+03  7.31580948e+10
  2.17326255e+03  1.25135818e+04  4.70938190e+03  7.34175467e+10
  2.17905548e+03  1.25222208e+04  4.71225054e+03  7.36771516e+10
  2.18484841e+03  1.25310607e+04  4.71512067e+03  7.39369377e+10
  2.19064134e+03  1.25427197e+04  4.71799195e+03  7.41969364e+10
  2.19643427e+03  1.25566261e+04  4.72086380e+03  7.44572001e+10
  2.20222720e+03  1.25614957e+04  4.72373699e+03  7.47176586e+10
  2.20802013e+03  1.25693805e+04  4.72661223e+03  7.49782493e+10
  2.21381306e+03  1.25800928e+04  4.72948884e+03  7.52390328e+10
  2.21960599e+03  1.25915605e+04  4.73236641e+03  7.55000464e+10
  2.22539892e+03  1.26029569e+04  4.73524487e+03  7.57612970e+10
  2.23119185e+03  1.26217904e+04  4.73812338e+03  7.60228611e+10
  2.23698478e+03  1.26368957e+04  4.74100151e+03  7.62847771e+10
  2.24277771e+03  1.26458334e+04  4.74388040e+03  7.65469425e+10
  2.24857064e+03  1.26588164e+04  4.74676029e+03  7.68093351e+10
  2.25436357e+03  1.26735407e+04  4.74964053e+03  7.70720150e+10
  2.26015650e+03  1.26870126e+04  4.75252105e+03  7.73349873e+10
  2.26594943e+03  1.26979632e+04  4.75540229e+03  7.75982129e+10
  2.27174236e+03  1.27099235e+04  4.75828443e+03  7.78616760e+10
  2.27753529e+03  1.27250411e+04  4.76116699e+03  7.81254199e+10
  2.28332822e+03  1.27368790e+04  4.76404998e+03  7.83894433e+10
  2.28912115e+03  1.27474272e+04  4.76693393e+03  7.86536989e+10
  2.29491408e+03  1.27621318e+04  4.76981852e+03  7.89182163e+10
  2.30070701e+03  1.27793532e+04  4.77270299e+03  7.91830648e+10
  2.30649994e+03  1.28028558e+04  4.77558635e+03  7.94483355e+10
  2.31229287e+03  1.28265805e+04  4.77846787e+03  7.97140959e+10
  2.31808580e+03  1.28474600e+04  4.78134785e+03  7.99803189e+10
  2.32387873e+03  1.28702633e+04  4.78422641e+03  8.02469948e+10
  2.32967166e+03  1.28925864e+04  4.78710339e+03  8.05141387e+10
  2.33546459e+03  1.29217789e+04  4.78997808e+03  8.07818168e+10
  2.34125752e+03  1.29428752e+04  4.79285062e+03  8.10500163e+10
  2.34705045e+03  1.29644156e+04  4.79572187e+03  8.13186579e+10
  2.35284338e+03  1.29913352e+04  4.79859119e+03  8.15878020e+10
  2.35863631e+03  1.30304170e+04  4.80145667e+03  8.18576305e+10
